Country Name,GDP,people,tech
阿鲁巴,0,106766,1788368
阿富汗,20116137326,38928341,0
安哥拉,58375976293,32866268,0
阿尔巴尼亚,14887629268,2837743,5055767
安道尔共和国,0,77265,0
阿拉伯联盟国家,2.45E+12,436080728,0
阿拉伯联合酋长国,3.59E+11,9890400,1155953992
阿根廷,3.89E+11,45376763,546445776
亚美尼亚,12641209802,2963234,28749973
美属萨摩亚,709000000,55197,0
安提瓜和巴布达,1370281481,97928,0
澳大利亚,1.33E+12,25687041,5597904784
奥地利,4.33E+11,8917205,15986052319
阿塞拜疆,42607176471,10093121,33914974
布隆迪,2841786382,11890781,37511
比利时,5.22E+11,11555997,34420442274
贝宁,15651545332,12123198,2051159
布基纳法索,17933606353,20903278,4121020
孟加拉国,3.23E+11,164689383,0
保加利亚,69889347433,6934015,2153930561
巴林,34729228723,1701583,0
巴哈马,9907500000,393248,0
波斯尼亚和黑塞哥维那,19946496563,3280815,212050898
白俄罗斯,60258239056,9379952,801645500
伯利兹,1636280797,397621,64217
百慕大,6842700000,63903,869523
玻利维亚,36572764863,11673029,13485139
巴西,1.44E+12,212559409,5944927280
巴巴多斯,4418000000,287371,25313814
文莱达鲁萨兰国,12005825770,437483,15965134
不丹,2315437338,771612,0
博茨瓦纳,15061922802,2351625,16238757
中非共和国,2380087758,4829764,0
加拿大,1.65E+12,38005238,25521895733
瑞士,7.52E+11,8636896,29244241826
智利,2.53E+11,19116209,1363952365
中国,1.47E+13,1410929362,7.58E+11
科特迪瓦,61348579465,26378275,0
喀麦隆,40804449726,26545864,0
刚果（金）,48716960860,89561404,17445949
刚果（布）,10187122341,5518092,37906536
哥伦比亚,2.71E+11,50882884,689645035
科摩罗,1235400352,869595,39177
佛得角,1703698677,555988,62458
哥斯达黎加,61846895121,5094114,1038666137
加勒比小国,66039332389,7442291,0
古巴,1.07E+11,11326616,0
库拉索,2595821709,155014,0
开曼群岛,5591623665,65720,0
塞浦路斯,24612646488,1207361,62939856
捷克共和国,2.45E+11,10698896,39603322880
德国,3.85E+12,83240525,1.82E+11
吉布提,3384385217,988002,0
多米尼克,504214814.8,71991,0
丹麦,3.56E+11,5831404,10492370928
多米尼加共和国,78844702329,10847904,493620244
阿尔及利亚,1.45E+11,43851043,0
厄瓜多尔,98808010000,17643060,52973245
阿拉伯埃及共和国,3.65E+11,102334403,343563049
厄立特里亚,0,0,0
西班牙,1.28E+12,47351567,15725222494
爱沙尼亚,30650285472,1331057,2150753039
埃塞俄比亚,1.08E+11,114963583,43185594
芬兰,2.70E+11,5530719,4419533496
斐济,4533883782,896444,0
法国,2.63E+12,67391582,87120396040
法罗群岛,0,48865,0
密克罗尼西亚联邦,410083600,115021,0
加蓬,15316826192,2225728,0
英国,2.76E+12,67215293,58143796288
格鲁吉亚,15846489611,3714000,14030856
加纳,68532281806,31072945,0
直布罗陀,0,33691,0
几内亚,15681050917,13132792,0
冈比亚,1868086275,2416664,1274
几内亚比绍共和国,1431758243,1967998,0
赤道几内亚,10021856754,1402985,0
希腊,1.89E+11,10715549,2006301936
格林纳达,1042100556,112519,112035
格陵兰,0,56367,0
危地马拉,77604632171,16858333,300037205
关岛,5844000000,168783,0
圭亚那,5471256595,786559,1133987
中国香港特别行政区,3.47E+11,7481800,3.40E+11
洪都拉斯,23662231634,9904608,0
克罗地亚,57203783203,4047200,1084082921
海地,14508218017,11402533,0
匈牙利,1.56E+11,9749763,18155662232
印度尼西亚,1.06E+12,273523621,6411913189
马恩岛,0,85032,0
印度,2.66E+12,1380004385,21583196976
爱尔兰,4.26E+11,4994724,42490854081
伊朗伊斯兰共和国,2.03E+11,83992953,0
伊拉克,1.67E+11,40222503,0
冰岛,21718075725,366425,144572357
以色列,4.07E+11,9216900,12960522000
意大利,1.89E+12,59554023,34663650030
牙买加,13812425037,2961161,0
约旦,43697659296,10203140,78697324
日本,5.06E+12,125836021,1.03E+11
哈萨克斯坦,1.71E+11,18754440,2492254474
肯尼亚,1.01E+11,53771300,85950660
吉尔吉斯斯坦,7735976273,6591600,27637566
柬埔寨,25808561551,16718971,308424322
基里巴斯,197508774.3,119446,83777
圣基茨和尼维斯,980740740.7,53192,0
大韩民国,1.64E+12,51780579,1.64E+11
科威特,1.06E+11,4270563,30598851
拉丁美洲与加勒比海地区（不包括高收入）,4.04E+12,595242966,0
老挝,19132635712,7275556,0
黎巴嫩,31735217785,6825442,76215323
利比里亚,3201187800,5057677,0
利比亚,25418916029,6871287,0
圣卢西亚,1616772741,183629,0
拉丁美洲与加勒比海地区,4.73E+12,652276325,0
列支敦士登,0,38137,0
斯里兰卡,80676681934,21919000,83149835
莱索托,1875227642,2142252,958398
立陶宛,56546957475,2794700,2619106955
卢森堡,73353132794,632275,618588974
拉脱维亚,33707320816,1901548,1837827469
中国澳门特别行政区,25586111076,649342,0
圣马丁（法属）,0,38659,0
摩洛哥,1.15E+11,36910558,857153733
摩纳哥,6816219303,39244,0
摩尔多瓦,11915547263,2620495,18904904
马达加斯加,13056079982,27691019,4736756
马尔代夫,3742769967,540542,0
墨西哥,1.07E+12,128932753,71003025162
马绍尔群岛,244462400,59194,0
北马其顿,12263710123,2072531,232386332
马里,17465392916,20250834,0
马耳他,14647384608,525285,791982507
缅甸,79852046611,54409794,202309315
黑山,4769860741,621306,9914687
蒙古,13312981595,3278292,0
北马里亚纳群岛,0,57557,0
莫桑比克,14019446610,31255435,2250357
毛里塔尼亚,7913680231,4649660,1278413
毛里求斯,10920606198,1265740,20091030
马拉维,12182348213,19129955,1343178
马来西亚,3.37E+11,32365998,92107695744
纳米比亚,10619194505,2540916,3763324
新喀里多尼亚,0,271960,0
尼日尔,13741378450,24206636,8778472
尼日利亚,4.32E+11,206139587,190326670
尼加拉瓜,12621505383,6624554,9890064
荷兰,9.14E+11,17441139,87143359757
挪威,3.62E+11,5379475,4101873686
尼泊尔,33657175561,29136808,0
瑙,114626625.6,10834,0
新西兰,2.11E+11,5084300,590425989
阿曼,73971391417,5106622,0
巴基斯坦,2.63E+11,220892331,309393334
巴拿马,53977036995,4314768,0
秘鲁,2.02E+11,32971846,172740806
菲律宾,3.61E+11,109581085,32818761665
帕劳,257700000,18092,0
巴布亚新几内亚,24668899683,8947027,0
波兰,5.97E+11,37950802,19966820739
波多黎各,1.03E+11,3194034,0
朝鲜民主主义人民共和国,0,25778815,0
葡萄牙,2.29E+11,10305564,3370854654
巴拉圭,35670301496,7132530,54397924
约旦河西岸和加沙,15561300000,4803269,11992941
太平洋岛国,9530487872,2528958,0
法属波利尼西亚,0,280904,5106595
卡塔尔,1.44E+11,2881060,465899482
罗马尼亚,2.49E+11,19286123,6984613434
俄罗斯联邦,1.48E+12,144104080,6603644282
卢旺达,10333991456,12952209,0
沙特阿拉伯,7.00E+11,34813867,217407466
苏丹,21329109522,43849269,0
塞内加尔,24644234595,16743930,7555947
新加坡,3.40E+11,5685807,1.60E+11
所罗门群岛,1545888426,686878,0
塞拉利昂,4063289450,7976985,0
萨尔瓦多,24638720000,6486201,236033577
圣马力诺,0,33938,0
索马里,6965285325,15893219,0
塞尔维亚,53335016425,6908224,0
南苏丹,0,11193729,0
圣多美和普林西比,472914469.9,219161,0
苏里南,2884248048,586634,0
斯洛伐克共和国,1.05E+11,5458827,7860065584
斯洛文尼亚,53589609581,2100126,2542422115
瑞典,5.41E+11,10353442,17724963038
斯威士兰,3972728948,1160164,3735561
圣马丁(荷属),0,40812,0
塞舌尔,1059886364,98462,598551
阿拉伯叙利亚共和国,0,17500657,0
特克斯科斯群岛,924583000,38718,0
乍得,10829076802,16425859,0
多哥,7574636979,8278737,913794
泰国,5.02E+11,69799978,45837990396
塔吉克斯坦,8194150302,9537642,1554883
土库曼斯坦,0,6031187,0
拉丁美洲与加勒比海地区 (IBRD与IDA),4.48E+12,636492840,0
东帝汶,1902156800,1318442,0
汤加,488829964.1,105697,0
特立尼达和多巴哥,21588037505,1399491,0
突尼斯,41620349986,11818618,0
土耳其,7.20E+11,84339067,4172699730
图瓦卢,48855550.2,11792,0
坦桑尼亚,62409709111,59734213,0
乌干达,37600368181,45741000,11771659
乌克兰,1.55E+11,44134693,1175952422
乌拉圭,53628827440,3473727,113421790
美国,2.10E+13,329484123,1.42E+11
乌兹别克斯坦,59929951114,34232050,42220494
圣文森特和格林纳丁斯,807474074.1,110947,0
委内瑞拉玻利瓦尔共和国,0,28435943,0
英倬S京群u,0,30237,0
美属维京群岛,0,106290,0
越南,2.71E+11,97338583,1.02E+11
瓦努阿图,881547928.6,307150,0
萨摩亚,807100820.6,198410,0
科索沃,7716925356,1775378,0
也门共和国,0,29825968,0
南非,3.35E+11,59308690,1835041135
赞比亚,18110631358,18383956,10697410
津巴布韦,18051170799,14862927,8275258
